LOEPENR	PARADIGME_ID	BOY_NUMMER	BOY_GRUPPE	BOY_UTTRYKK
927	188	7	verb, normal	edet
928	188	8	verb, normal	edne
929	188	9	verb, normal	edne
930	188	10	verb, normal	iende
931	188	11	verb, normal	i
932	189	1	verb, normal	i
933	189	2	verb, normal	ir
934	189	3	verb, normal	is
935	189	4	verb, normal	ei
936	189	5	verb, normal	edet
937	189	6	verb, normal	edet
938	189	7	verb, normal	edet
939	189	8	verb, normal	edne
940	189	9	verb, normal	edne
941	189	10	verb, normal	iende
942	189	11	verb, normal	i
943	190	1	verb, normal	i
944	190	2	verb, normal	ir
945	190	3	verb, normal	is
946	190	4	verb, normal	ed
947	190	5	verb, normal	edet
948	190	6	verb, normal	edet
949	190	7	verb, normal	eden
950	190	8	verb, normal	edne
951	190	9	verb, normal	edne
952	190	10	verb, normal	iende
953	190	11	verb, normal	i
954	191	1	verb, normal	i
955	191	2	verb, normal	ir
956	191	3	verb, normal	is
957	191	4	verb, normal	ei
958	191	5	verb, normal	edet
959	191	6	verb, normal	edet
960	191	7	verb, normal	eden
961	191	8	verb, normal	edne
962	191	9	verb, normal	edne
963	191	10	verb, normal	iende
964	191	11	verb, normal	i
965	192	1	verb, normal	ide
966	192	2	verb, normal	ider
967	192	3	verb, normal	ides
968	192	4	verb, normal	ed
969	192	5	verb, normal	edet
970	192	6	verb, normal	edet
971	192	7	verb, normal	eden
972	192	8	verb, normal	edne
973	192	9	verb, normal	edne
974	192	10	verb, normal	idende
975	192	11	verb, normal	id
976	193	1	verb, normal	ide
977	193	2	verb, normal	ider
978	193	3	verb, normal	ides
979	193	4	verb, normal	ei
980	193	5	verb, normal	edet
981	193	6	verb, normal	edet
982	193	7	verb, normal	eden
983	193	8	verb, normal	edne
984	193	9	verb, normal	edne
985	193	10	verb, normal	idende
986	193	11	verb, normal	id
987	194	1	verb, normal	i
988	194	2	verb, normal	ir
989	194	3	verb, normal	is
990	194	4	verb, normal	eid
991	194	5	verb, normal	edet
992	194	6	verb, normal	edet
993	194	7	verb, normal	edet
994	194	8	verb, normal	edne
995	194	9	verb, normal	edne
996	194	10	verb, normal	iende
997	194	11	verb, normal	i
998	195	1	verb, normal	i
999	195	2	verb, normal	ir
1000	195	3	verb, normal	is
1001	195	4	verb, normal	eid
1002	195	5	verb, normal	edet
1003	195	6	verb, normal	edet
1004	195	7	verb, normal	eden
1005	195	8	verb, normal	edne
1006	195	9	verb, normal	edne
1007	195	10	verb, normal	iende
1008	195	11	verb, normal	i
1009	196	1	verb, normal	ide
1010	196	2	verb, normal	ider
1011	196	3	verb, normal	ides
1012	196	4	verb, normal	eid
1013	196	5	verb, normal	edet
1014	196	6	verb, normal	edet
1015	196	7	verb, normal	edet
1016	196	8	verb, normal	edne
1017	196	9	verb, normal	edne
1018	196	10	verb, normal	idende
1019	196	11	verb, normal	id
1020	197	1	verb, normal	ide
1021	197	2	verb, normal	ider
1022	197	3	verb, normal	ides
1023	197	4	verb, normal	eid
1024	197	5	verb, normal	edet
1025	197	6	verb, normal	edet
1026	197	7	verb, normal	eden
1027	197	8	verb, normal	edne
1028	197	9	verb, normal	edne
1029	197	10	verb, normal	idende
1030	197	11	verb, normal	id
1031	198	1	verb, normal	i+e
1032	198	2	verb, normal	i+er
1033	198	3	verb, normal	i+es
1034	198	4	verb, normal	e+
1035	198	5	verb, normal	e+et
1036	198	6	verb, normal	e+et
1037	198	7	verb, normal	e+et
1038	198	8	verb, normal	e+ne
1039	198	9	verb, normal	e+ne
1040	198	10	verb, normal	i+ende
1041	198	11	verb, normal	i+
1042	199	1	verb, normal	i+e
1043	199	2	verb, normal	i+er
1044	199	3	verb, normal	i+es
1045	199	4	verb, normal	ei+
1046	199	5	verb, normal	e+et
1047	199	6	verb, normal	e+et
1048	199	7	verb, normal	e+et
1049	199	8	verb, normal	e+ne
1050	199	9	verb, normal	e+ne
1051	199	10	verb, normal	i+ende
1052	199	11	verb, normal	i+
1053	200	1	verb, normal	i+e
1054	200	2	verb, normal	i+er
1055	200	3	verb, normal	i+es
1056	200	4	verb, normal	e+
1057	200	5	verb, normal	e+et
1058	200	6	verb, normal	e+et
1059	200	7	verb, normal	e+en
1060	200	8	verb, normal	e+ne
1061	200	9	verb, normal	e+ne
1062	200	10	verb, normal	i+ende
1063	200	11	verb, normal	i+
1064	201	1	verb, normal	i+e
1065	201	2	verb, normal	i+er
1066	201	3	verb, normal	i+es
1067	201	4	verb, normal	ei+
1068	201	5	verb, normal	e+et
1069	201	6	verb, normal	e+et
1070	201	7	verb, normal	e+en
1071	201	8	verb, normal	e+ne
1072	201	9	verb, normal	e+ne
1073	201	10	verb, normal	i+ende
1074	201	11	verb, normal	i+
1075	202	1	verb, normal	i+e
1076	202	2	verb, normal	i+er
1077	202	3	verb, normal	i+es
1078	202	4	verb, normal	e+
1079	202	5	verb, normal	i+t
1080	202	6	verb, normal	i+t
1081	202	7	verb, normal	i+t
1082	202	8	verb, normal	i+te
1083	202	9	verb, normal	i+te
1084	202	10	verb, normal	i+ende
1085	202	11	verb, normal	i+
1086	203	1	verb, normal	i+e
1087	203	2	verb, normal	i+er
1088	203	3	verb, normal	i+es
1089	203	4	verb, normal	ei+
1090	203	5	verb, normal	i+t
1091	203	6	verb, normal	i+t
1092	203	7	verb, normal	i+t
1093	203	8	verb, normal	i+te
1094	203	9	verb, normal	i+te
1095	203	10	verb, normal	i+ende
1096	203	11	verb, normal	i+
1097	204	1	verb, normal	i++e
1098	204	2	verb, normal	i++er
1099	204	3	verb, normal	i++es
1100	204	4	verb, normal	ei+
1101	204	5	verb, normal	i+t
1102	204	6	verb, normal	i+t
1103	204	7	verb, normal	i+t
1104	204	8	verb, normal	i+te
1105	204	9	verb, normal	i+te
1106	204	10	verb, normal	i++ende
1107	204	11	verb, normal	i++
1108	205	1	verb, normal	i+e
1109	205	2	verb, normal	i+er
1110	205	3	verb, normal	i+es
1111	205	4	verb, normal	ei+
1112	205	5	verb, normal	i+d
1113	205	6	verb, normal	i+d
1114	205	7	verb, normal	i+d
1115	205	8	verb, normal	i+de
1116	205	9	verb, normal	i+de
1117	205	10	verb, normal	i+ende
1118	205	11	verb, normal	i+
1119	206	1	verb, normal	i+e
1120	206	2	verb, normal	i+er
1121	206	3	verb, normal	i+es
1122	206	4	verb, normal	e+
1123	206	5	verb, normal	i+d
1124	206	6	verb, normal	i+d
1125	206	7	verb, normal	i+d
1126	206	8	verb, normal	i+de
1127	206	9	verb, normal	i+de
1128	206	10	verb, normal	i+ende
1129	206	11	verb, normal	i+
1130	207	1	verb, normal	i+e
1131	207	2	verb, normal	i+er
1132	207	3	verb, normal	i+es
1133	207	4	verb, normal	ei+
1134	207	5	verb, normal	i++
1135	207	6	verb, normal	i++
1136	207	7	verb, normal	i++
1137	207	8	verb, normal	i++e
1138	207	9	verb, normal	i++e
1139	207	10	verb, normal	i+ende
1140	207	11	verb, normal	i+
1141	208	1	verb, normal	i+e
1142	208	2	verb, normal	i+er
1143	208	3	verb, normal	i+es
1144	208	4	verb, normal	e+
1145	208	5	verb, normal	i++
1146	208	6	verb, normal	i++
1147	208	7	verb, normal	i++
1148	208	8	verb, normal	i++e
1149	208	9	verb, normal	i++e
1150	208	10	verb, normal	i+ende
1151	208	11	verb, normal	i+
1152	209	1	verb, normal	i+e
1153	209	2	verb, normal	i+er
1154	209	3	verb, normal	i+es
1155	209	4	verb, normal	e+
1156	209	5	verb, normal	i+et
1157	209	6	verb, normal	i+et
1158	209	7	verb, normal	i+et
1159	209	8	verb, normal	i+ne
1160	209	9	verb, normal	i+ne
1161	209	10	verb, normal	i+ende
1162	209	11	verb, normal	i+
1163	210	1	verb, normal	i+e
1164	210	2	verb, normal	i+er
1165	210	3	verb, normal	i+es
1166	210	4	verb, normal	ei+
1167	210	5	verb, normal	i+et
1168	210	6	verb, normal	i+et
1169	210	7	verb, normal	i+et
1170	210	8	verb, normal	i+ne
1171	210	9	verb, normal	i+ne
1172	210	10	verb, normal	i+ende
1173	210	11	verb, normal	i+
1174	211	1	verb, normal	i+e
1175	211	2	verb, normal	i+er
1176	211	3	verb, normal	i+es
1177	211	4	verb, normal	e+
1178	211	5	verb, normal	i+et
1179	211	6	verb, normal	i+et
1180	211	7	verb, normal	i+en
1181	211	8	verb, normal	i+ne
1182	211	9	verb, normal	i+ne
1183	211	10	verb, normal	i+ende
1184	211	11	verb, normal	i+
1185	212	1	verb, normal	i+e
1186	212	2	verb, normal	i+er
1187	212	3	verb, normal	i+es
1188	212	4	verb, normal	ei+
1189	212	5	verb, normal	i+et
1190	212	6	verb, normal	i+et
1191	212	7	verb, normal	i+en
1192	212	8	verb, normal	i+ne
1193	212	9	verb, normal	i+ne
1194	212	10	verb, normal	i+ende
1195	212	11	verb, normal	i+
1196	213	1	verb, normal	by
1197	213	2	verb, normal	byr
1198	213	3	verb, normal	bys
1199	213	4	verb, normal	baud
1200	213	5	verb, normal	budt
1201	213	6	verb, normal	budt
1202	213	7	verb, normal	budt
1203	213	8	verb, normal	budte
1204	213	9	verb, normal	budte
1205	213	10	verb, normal	byende
1206	213	11	verb, normal	by
1207	214	1	verb, normal	by
1208	214	2	verb, normal	byr
1209	214	3	verb, normal	bys
1210	214	4	verb, normal	bød
1211	214	5	verb, normal	budt
1212	214	6	verb, normal	budt
1213	214	7	verb, normal	budt
1214	214	8	verb, normal	budte
1215	214	9	verb, normal	budte
1216	214	10	verb, normal	byende
1217	214	11	verb, normal	by
1218	215	1	verb, normal	y%e
1219	215	2	verb, normal	y%er
1220	215	3	verb, normal	y%es
1221	215	4	verb, normal	øy%
1222	215	5	verb, normal	y%t
1223	215	6	verb, normal	y%t
1224	215	7	verb, normal	y%t
1225	215	8	verb, normal	y%te
1226	215	9	verb, normal	y%te
1227	215	10	verb, normal	y%ende
1228	215	11	verb, normal	y%
1229	216	1	verb, normal	y%e
1230	216	2	verb, normal	y%er
1231	216	3	verb, normal	y%es
1232	216	4	verb, normal	øy%
1233	216	5	verb, normal	ø%et
1234	216	6	verb, normal	ø%et
1235	216	7	verb, normal	ø%en
1236	216	8	verb, normal	ø%ne
1237	216	9	verb, normal	ø%ne
1238	216	10	verb, normal	y%ende
1239	216	11	verb, normal	y%
1240	217	1	verb, normal	y%e
1241	217	2	verb, normal	y%er
1242	217	3	verb, normal	y%es
1243	217	4	verb, normal	øy%
1244	217	5	verb, normal	ø%et
1245	217	6	verb, normal	ø%et
1246	217	7	verb, normal	ø%et
1247	217	8	verb, normal	ø%ne
1248	217	9	verb, normal	ø%ne
1249	217	10	verb, normal	y%ende
1250	217	11	verb, normal	y%
1251	218	1	verb, normal	y+e
1252	218	2	verb, normal	y+er
1253	218	3	verb, normal	y+es
1254	218	4	verb, normal	ø+
1255	218	5	verb, normal	ø+et
1256	218	6	verb, normal	ø+et
1257	218	7	verb, normal	ø+et
1258	218	8	verb, normal	ø+ne
1259	218	9	verb, normal	ø+ne
1260	218	10	verb, normal	y+ende
1261	218	11	verb, normal	y+
1262	219	1	verb, normal	y+e
1263	219	2	verb, normal	y+er
1264	219	3	verb, normal	y+es
1265	219	4	verb, normal	au+
1266	219	5	verb, normal	ø+et
1267	219	6	verb, normal	ø+et
1268	219	7	verb, normal	ø+et
1269	219	8	verb, normal	ø+ne
1270	219	9	verb, normal	ø+ne
1271	219	10	verb, normal	y+ende
1272	219	11	verb, normal	y+
1273	21A	1	verb, normal	by
1274	21A	2	verb, normal	byr
1275	21A	3	verb, normal	bys
1276	21A	4	verb, normal	bøy
1277	21A	5	verb, normal	budt
1278	21A	6	verb, normal	budt
1279	21A	7	verb, normal	budt
1280	21A	8	verb, normal	budte
1281	21A	9	verb, normal	budte
1282	21A	10	verb, normal	byende
1283	21A	11	verb, normal	by
1284	21B	1	verb, normal	%y
1285	21B	2	verb, normal	%yr
1286	21B	3	verb, normal	%ys
1287	21B	4	verb, normal	%øy
1288	21B	5	verb, normal	%ydd
1289	21B	6	verb, normal	%ydd
1290	21B	7	verb, normal	%ydd
1291	21B	8	verb, normal	%ydde
1292	21B	9	verb, normal	%ydde
1293	21B	10	verb, normal	%yende
1294	21B	11	verb, normal	%y
1295	220	1	verb, normal	y+e
1296	220	2	verb, normal	y+er
1297	220	3	verb, normal	y+es
1298	220	4	verb, normal	ø+
1299	220	5	verb, normal	ø+et
1300	220	6	verb, normal	ø+et
1301	220	7	verb, normal	ø+en
1302	220	8	verb, normal	ø+ne
1303	220	9	verb, normal	ø+ne
1304	220	10	verb, normal	y+ende
1305	220	11	verb, normal	y+
1306	221	1	verb, normal	y+e
1307	221	2	verb, normal	y+er
1308	221	3	verb, normal	y+es
1309	221	4	verb, normal	au+
1310	221	5	verb, normal	ø+et
1311	221	6	verb, normal	ø+et
1312	221	7	verb, normal	ø+en
1313	221	8	verb, normal	ø+ne
1314	221	9	verb, normal	ø+ne
1315	221	10	verb, normal	y+ende
1316	221	11	verb, normal	y+
1317	222	1	verb, normal	byde
1318	222	2	verb, normal	byder
1319	222	3	verb, normal	bydes
1320	222	4	verb, normal	baud
1321	222	5	verb, normal	budt
1322	222	6	verb, normal	budt
1323	222	7	verb, normal	budt
1324	222	8	verb, normal	budte
1325	222	9	verb, normal	budte
1326	222	10	verb, normal	bydende
1327	222	11	verb, normal	byd
1328	223	1	verb, normal	byde
1329	223	2	verb, normal	byder
1330	223	3	verb, normal	bydes
1331	223	4	verb, normal	bød
1332	223	5	verb, normal	budt
1333	223	6	verb, normal	budt
1334	223	7	verb, normal	budt
1335	223	8	verb, normal	budte
1336	223	9	verb, normal	budte
1337	223	10	verb, normal	bydende
1338	223	11	verb, normal	byd
1339	224	1	verb, normal	byde
1340	224	2	verb, normal	byder
1341	224	3	verb, normal	bydes
1342	224	4	verb, normal	bøy
1343	224	5	verb, normal	budt
1344	224	6	verb, normal	budt
1345	224	7	verb, normal	budt
1346	224	8	verb, normal	budte
1347	224	9	verb, normal	budte
1348	224	10	verb, normal	bydende
1349	224	11	verb, normal	byd
1350	225	1	verb, normal	byde
1351	225	2	verb, normal	byder
1352	225	3	verb, normal	bydes
1353	225	4	verb, normal	bøy
1354	225	5	verb, normal	bydd
1355	225	6	verb, normal	bydd
1356	225	7	verb, normal	bydd
1357	225	8	verb, normal	bydde
1358	225	9	verb, normal	bydde
1359	225	10	verb, normal	bydende
1360	225	11	verb, normal	by
1361	226	1	verb, normal	y+e
1362	226	2	verb, normal	y+er
1363	226	3	verb, normal	y+es
1364	226	4	verb, normal	ø+
1365	226	5	verb, normal	o++et
1366	226	6	verb, normal	o++et
1367	226	7	verb, normal	o++et
1368	226	8	verb, normal	o+ne
1369	226	9	verb, normal	o+ne
1370	226	10	verb, normal	y+ende
1371	226	11	verb, normal	y+
1372	227	1	verb, normal	y+e
1373	227	2	verb, normal	y+er
1374	227	3	verb, normal	y+es
1375	227	4	verb, normal	au+
1376	227	5	verb, normal	o++et
1377	227	6	verb, normal	o++et
1378	227	7	verb, normal	o++et
1379	227	8	verb, normal	o+ne
1380	227	9	verb, normal	o+ne
1381	227	10	verb, normal	y+ende
1382	227	11	verb, normal	y+
1383	228	1	verb, normal	y+e
1384	228	2	verb, normal	y+er
1385	228	3	verb, normal	y+es
1386	228	4	verb, normal	au+
1387	228	5	verb, normal	o++et
1388	228	6	verb, normal	o++et
1389	228	7	verb, normal	o++en
1390	228	8	verb, normal	o+ne
1391	228	9	verb, normal	o+ne
1392	228	10	verb, normal	y+ende
1393	228	11	verb, normal	y+
1394	229	1	verb, normal	y+e
1395	229	2	verb, normal	y+er
1396	229	3	verb, normal	y+es
1397	229	4	verb, normal	ø+
1398	229	5	verb, normal	o++et
1399	229	6	verb, normal	o++et
1400	229	7	verb, normal	o++en
1401	229	8	verb, normal	o+ne
1402	229	9	verb, normal	o+ne
1403	229	10	verb, normal	y+ende
1404	229	11	verb, normal	y+
1405	22A	1	verb, normal	y+e
1406	22A	2	verb, normal	y+er
1407	22A	3	verb, normal	y+es
1408	22A	4	verb, normal	øy+
1409	22A	5	verb, normal	o++et
1410	22A	6	verb, normal	o++et
1411	22A	7	verb, normal	o++et
1412	22A	8	verb, normal	o+ne
1413	22A	9	verb, normal	o+ne
1414	22A	10	verb, normal	y+ende
1415	22A	11	verb, normal	y+
1416	22B	1	verb, normal	y+e
1417	22B	2	verb, normal	y+er
1418	22B	3	verb, normal	y+es
1419	22B	4	verb, normal	øy+
1420	22B	5	verb, normal	o++et
1421	22B	6	verb, normal	o++et
1422	22B	7	verb, normal	o++en
1423	22B	8	verb, normal	o+ne
1424	22B	9	verb, normal	o+ne
1425	22B	10	verb, normal	y+ende
1426	22B	11	verb, normal	y+
1427	230	1	verb, normal	y+e
1428	230	2	verb, normal	y+er
1429	230	3	verb, normal	y+es
1430	230	4	verb, normal	au+
1431	230	5	verb, normal	y++
1432	230	6	verb, normal	y++
1433	230	7	verb, normal	y++
1434	230	8	verb, normal	y++e
1435	230	9	verb, normal	y++e
1436	230	10	verb, normal	y+ende
1437	230	11	verb, normal	y+
1438	231	1	verb, normal	y+e
1439	231	2	verb, normal	y+er
1440	231	3	verb, normal	y+es
1441	231	4	verb, normal	ø+
1442	231	5	verb, normal	y++
1443	231	6	verb, normal	y++
1444	231	7	verb, normal	y++
1445	231	8	verb, normal	y++e
1446	231	9	verb, normal	y++e
1447	231	10	verb, normal	y+ende
1448	231	11	verb, normal	y+
1449	232	1	verb, normal	y+e
1450	232	2	verb, normal	y+er
1451	232	3	verb, normal	y+es
1452	232	4	verb, normal	au+
1453	232	5	verb, normal	u++
1454	232	6	verb, normal	u++
1455	232	7	verb, normal	u++
1456	232	8	verb, normal	u++e
1457	232	9	verb, normal	u++e
1458	232	10	verb, normal	y+ende
1459	232	11	verb, normal	y+
1460	233	1	verb, normal	y+e
1461	233	2	verb, normal	y+er
1462	233	3	verb, normal	y+es
1463	233	4	verb, normal	jø+
1464	233	5	verb, normal	u++
1465	233	6	verb, normal	u++
1466	233	7	verb, normal	u++
1467	233	8	verb, normal	u++e
1468	233	9	verb, normal	u++e
1469	233	10	verb, normal	y+ende
1470	233	11	verb, normal	y+
1471	234	1	verb, normal	y+e
1472	234	2	verb, normal	y+er
1473	234	3	verb, normal	y+es
1474	234	4	verb, normal	ø+
1475	234	5	verb, normal	u++
1476	234	6	verb, normal	u++
1477	234	7	verb, normal	u++
1478	234	8	verb, normal	u++e
1479	234	9	verb, normal	u++e
1480	234	10	verb, normal	y+ende
1481	234	11	verb, normal	y+
1482	235	1	verb, normal	u+e
1483	235	2	verb, normal	u+er
1484	235	3	verb, normal	u+es
1485	235	4	verb, normal	au+
1486	235	5	verb, normal	u+d
1487	235	6	verb, normal	u+d
1488	235	7	verb, normal	u+d
1489	235	8	verb, normal	u+de
1490	235	9	verb, normal	u+de
1491	235	10	verb, normal	u+ende
1492	235	11	verb, normal	u+
1493	236	1	verb, normal	y+e
1494	236	2	verb, normal	y+er
1495	236	3	verb, normal	y+es
1496	236	4	verb, normal	au+
1497	236	5	verb, normal	y+t
1498	236	6	verb, normal	y+t
1499	236	7	verb, normal	y+t
1500	236	8	verb, normal	y+te
1501	236	9	verb, normal	y+te
1502	236	10	verb, normal	y+ende
1503	236	11	verb, normal	y+
1504	237	1	verb, normal	y+e
1505	237	2	verb, normal	y+er
1506	237	3	verb, normal	y+es
1507	237	4	verb, normal	ø+
1508	237	5	verb, normal	y+t
1509	237	6	verb, normal	y+t
1510	237	7	verb, normal	y+t
1511	237	8	verb, normal	y+te
1512	237	9	verb, normal	y+te
1513	237	10	verb, normal	y+ende
1514	237	11	verb, normal	y+
1515	238	1	verb, normal	y+e
1516	238	2	verb, normal	y+er
1517	238	3	verb, normal	y+es
1518	238	4	verb, normal	jø+
1519	238	5	verb, normal	jø+et
1520	238	6	verb, normal	jø+et
1521	238	7	verb, normal	jø+et
1522	238	8	verb, normal	jø+ne
1523	238	9	verb, normal	jø+ne
1524	238	10	verb, normal	y+ende
1525	238	11	verb, normal	y+
1526	239	1	verb, normal	y+e
1527	239	2	verb, normal	y+er
1528	239	3	verb, normal	y+es
1529	239	4	verb, normal	au+
1530	239	5	verb, normal	jø+et
1531	239	6	verb, normal	jø+et
1532	239	7	verb, normal	jø+et
1533	239	8	verb, normal	jø+ne
1534	239	9	verb, normal	jø+ne
1535	239	10	verb, normal	y+ende
1536	239	11	verb, normal	y+
1537	23A	1	verb, normal	y+e
1538	23A	2	verb, normal	y+er
1539	23A	3	verb, normal	y+es
1540	23A	4	verb, normal	øy+
1541	23A	5	verb, normal	u++
1542	23A	6	verb, normal	u++
1543	23A	7	verb, normal	u++
1544	23A	8	verb, normal	u++e
1545	23A	9	verb, normal	u++e
1546	23A	10	verb, normal	y+ende
1547	23A	11	verb, normal	y+
1548	23B	1	verb, normal	y+e
1549	23B	2	verb, normal	y+er
1550	23B	3	verb, normal	y+es
1551	23B	4	verb, normal	øy+
1552	23B	5	verb, normal	y+d
1553	23B	6	verb, normal	y+d
1554	23B	7	verb, normal	y+d
1555	23B	8	verb, normal	y+de
1556	23B	9	verb, normal	y+de
1557	23B	10	verb, normal	y+ende
1558	23B	11	verb, normal	y+
1559	240	1	verb, normal	y+e
1560	240	2	verb, normal	y+er
1561	240	3	verb, normal	y+es
1562	240	4	verb, normal	jø+
1563	240	5	verb, normal	jø+et
1564	240	6	verb, normal	jø+et
1565	240	7	verb, normal	jø+en
1566	240	8	verb, normal	jø+ne
1567	240	9	verb, normal	jø+ne
1568	240	10	verb, normal	y+ende
1569	240	11	verb, normal	y+
1570	241	1	verb, normal	y+e
1571	241	2	verb, normal	y+er
1572	241	3	verb, normal	y+es
1573	241	4	verb, normal	au+
1574	241	5	verb, normal	jø+et
1575	241	6	verb, normal	jø+et
1576	241	7	verb, normal	jø+en
1577	241	8	verb, normal	jø+ne
1578	241	9	verb, normal	jø+ne
1579	241	10	verb, normal	y+ende
1580	241	11	verb, normal	y+
1581	242	1	verb, normal	y
1582	242	2	verb, normal	yr
1583	242	3	verb, normal	ys
1584	242	4	verb, normal	øy
1585	242	5	verb, normal	øyet
1586	242	6	verb, normal	øyet
1587	242	7	verb, normal	øyet
1588	242	8	verb, normal	øyne
1589	242	9	verb, normal	øyne
1590	242	10	verb, normal	yende
1591	242	11	verb, normal	y
1592	243	1	verb, normal	y
1593	243	2	verb, normal	yr
1594	243	3	verb, normal	ys
1595	243	4	verb, normal	øy
1596	243	5	verb, normal	øyet
1597	243	6	verb, normal	øyet
1598	243	7	verb, normal	øyen
1599	243	8	verb, normal	øyne
1600	243	9	verb, normal	øyne
1601	243	10	verb, normal	yende
1602	243	11	verb, normal	y
1603	244	1	verb, normal	y
1604	244	2	verb, normal	yr
1605	244	3	verb, normal	ys
1606	244	4	verb, normal	aug
1607	244	5	verb, normal	ydd
1608	244	6	verb, normal	ydd
1609	244	7	verb, normal	ydd
1610	244	8	verb, normal	ydde
1611	244	9	verb, normal	ydde
1612	244	10	verb, normal	yende
1613	244	11	verb, normal	y
1614	245	1	verb, normal	y+e
1615	245	2	verb, normal	y+er
1616	245	3	verb, normal	y+es
1617	245	4	verb, normal	øy
1618	245	5	verb, normal	øyet
1619	245	6	verb, normal	øyet
1620	245	7	verb, normal	øyet
1621	245	8	verb, normal	øyne
1622	245	9	verb, normal	øyne
1623	245	10	verb, normal	y+ende
1624	245	11	verb, normal	y+
1625	246	1	verb, normal	y+e
1626	246	2	verb, normal	y+er
1627	246	3	verb, normal	y+es
1628	246	4	verb, normal	øy
1629	246	5	verb, normal	øyet
1630	246	6	verb, normal	øyet
1631	246	7	verb, normal	øyen
1632	246	8	verb, normal	øyne
1633	246	9	verb, normal	øyne
1634	246	10	verb, normal	y+ende
1635	246	11	verb, normal	y+
1636	247	1	verb, normal	y+e
1637	247	2	verb, normal	y+er
1638	247	3	verb, normal	y+es
1639	247	4	verb, normal	au+
1640	247	5	verb, normal	ydd
1641	247	6	verb, normal	ydd
1642	247	7	verb, normal	ydd
1643	247	8	verb, normal	ydde
1644	247	9	verb, normal	ydde
1645	247	10	verb, normal	y+ende
1646	247	11	verb, normal	y+
1647	248	1	verb, normal	y+e
1648	248	2	verb, normal	y+er
1649	248	3	verb, normal	y+es
1650	248	4	verb, normal	jø+
1651	248	5	verb, normal	y++
1652	248	6	verb, normal	y++
1653	248	7	verb, normal	y++
1654	248	8	verb, normal	y++e
1655	248	9	verb, normal	y++e
1656	248	10	verb, normal	y+ende
1657	248	11	verb, normal	y+
1658	249	1	verb, normal	y+e
1659	249	2	verb, normal	y+er
1660	249	3	verb, normal	y+es
1661	249	4	verb, normal	au+
1662	249	5	verb, normal	øyet
1663	249	6	verb, normal	øyet
1664	249	7	verb, normal	øyet
1665	249	8	verb, normal	øyne
1666	249	9	verb, normal	øyne
1667	249	10	verb, normal	y+ende
1668	249	11	verb, normal	y+
1669	24A	1	verb, normal	y+e
1670	24A	2	verb, normal	y+er
1671	24A	3	verb, normal	y+es
1672	24A	4	verb, normal	øy+
1673	24A	5	verb, normal	jø+et
1674	24A	6	verb, normal	jø+et
1675	24A	7	verb, normal	jø+et
1676	24A	8	verb, normal	jø+ne
1677	24A	9	verb, normal	jø+ne
1678	24A	10	verb, normal	y+ende
1679	24A	11	verb, normal	y+
1680	24B	1	verb, normal	y+e
1681	24B	2	verb, normal	y+er
1682	24B	3	verb, normal	y+es
1683	24B	4	verb, normal	øy+
1684	24B	5	verb, normal	jø+et
1685	24B	6	verb, normal	jø+et
1686	24B	7	verb, normal	jø+en
1687	24B	8	verb, normal	jø+ne
1688	24B	9	verb, normal	jø+ne
1689	24B	10	verb, normal	y+ende
1690	24B	11	verb, normal	y+
1691	250	1	verb, normal	y+e
1692	250	2	verb, normal	y+er
1693	250	3	verb, normal	y+es
1694	250	4	verb, normal	au+
1695	250	5	verb, normal	øyet
1696	250	6	verb, normal	øyet
1697	250	7	verb, normal	øyen
1698	250	8	verb, normal	øyne
1699	250	9	verb, normal	øyne
1700	250	10	verb, normal	y+ende
1701	250	11	verb, normal	y+
1702	251	1	verb, normal	ju+e
1703	251	2	verb, normal	ju+er
1704	251	3	verb, normal	ju+es
1705	251	4	verb, normal	øy
1706	251	5	verb, normal	øyet
1707	251	6	verb, normal	øyet
1708	251	7	verb, normal	øyet
1709	251	8	verb, normal	øyne
1710	251	9	verb, normal	øyne
1711	251	10	verb, normal	ju+ende
1712	251	11	verb, normal	ju+
1713	252	1	verb, normal	ju+e
1714	252	2	verb, normal	ju+er
1715	252	3	verb, normal	ju+es
1716	252	4	verb, normal	au+
1717	252	5	verb, normal	øyet
1718	252	6	verb, normal	øyet
1719	252	7	verb, normal	øyet
1720	252	8	verb, normal	øyne
1721	252	9	verb, normal	øyne
1722	252	10	verb, normal	ju+ende
1723	252	11	verb, normal	ju+
1724	253	1	verb, normal	ju+e
1725	253	2	verb, normal	ju+er
1726	253	3	verb, normal	ju+es
1727	253	4	verb, normal	øy
1728	253	5	verb, normal	øyet
1729	253	6	verb, normal	øyet
1730	253	7	verb, normal	øyen
1731	253	8	verb, normal	øyne
1732	253	9	verb, normal	øyne
1733	253	10	verb, normal	ju+ende
1734	253	11	verb, normal	ju+
1735	254	1	verb, normal	ju+e
1736	254	2	verb, normal	ju+er
1737	254	3	verb, normal	ju+es
1738	254	4	verb, normal	au+
1739	254	5	verb, normal	øyet
1740	254	6	verb, normal	øyet
1741	254	7	verb, normal	øyen
1742	254	8	verb, normal	øyne
1743	254	9	verb, normal	øyne
1744	254	10	verb, normal	ju+ende
1745	254	11	verb, normal	ju+
1746	255	1	verb, normal	y+e
1747	255	2	verb, normal	y+er
1748	255	3	verb, normal	y+es
1749	255	4	verb, normal	jø+
1750	255	5	verb, normal	y+d
1751	255	6	verb, normal	y+d
1752	255	7	verb, normal	y+d
1753	255	8	verb, normal	y+d
